165,165,8150,11
168,168,8337,1
169,169,8343,1
178,178,8400,5
179,179,8406,3
186,186,8474,12
187,187,8480,12
188,188,8512,1
195,195,8829,12
196,196,9115,12
199,199,9383,12
200,200,9420,12
201,201,9450,12
202,202,9494,12
203,203,9591,12
204,204,9618,12
205,205,10041,12
206,206,10045,12
207,207,10053,12
208,208,10065,12
209,209,10095,3
210,210,10102,3
211,211,10108,12
213,213,10114,1
214,214,10117,1
215,215,10122,12
216,216,10123,12
217,217,10125,12
218,218,10132,12
219,219,10137,12
220,220,10153,3
222,222,10167,1
224,224,10178,12
225,225,10188,1
226,226,10242,12
227,227,10291,12
229,229,10534,12
230,230,10574,12
231,231,10684,12
234,234,10783,12
236,236,10955,12
237,237,10982,12
238,238,11092,12
239,239,11138,3
241,241,11465,1
244,244,11751,6
245,245,11754,5
246,246,11759,2
247,247,11766,6
248,248,11768,6
249,249,11773,5
250,250,11775,3
251,251,11778,5
252,252,11789,2
253,253,11792,2
254,254,11814,1
255,255,11817,15
258,258,11830,12
259,259,11842,2
260,260,12031,2
263,263,12153,5
264,264,12200,5
268,268,12637,5
270,270,12825,15
271,271,12860,15
272,272,12884,15
273,273,13027,15
274,274,13030,15
275,275,13400,2
276,276,13408,2
279,279,13417,3
281,281,13422,3
282,282,13425,3
283,283,13431,1
285,285,13438,3
286,286,13752,3
287,287,13887,3
288,288,13977,5
289,289,14020,3
290,290,14277,5
291,291,14302,5
292,292,14308,6
293,293,14378,3
294,294,14539,6
295,295,14634,5
296,296,14995,2
297,297,14997,2
298,298,15004,2
299,299,15005,2
300,300,15013,2
301,301,15021,5
303,303,15027,5
304,304,15029,5
305,305,15037,5
306,306,15039,3
307,307,15042,15
308,308,15053,2
310,310,15241,12
316,316,15699,1
317,317,15800,1
318,318,15863,1
319,319,15893,1
320,320,15942,1
321,321,16012,1
322,322,16067,15
324,324,16133,1
325,325,16283,1
326,326,16595,11
327,327,16596,6
328,328,16602,11
329,329,16608,11
330,330,16614,12
331,331,16619,12
332,332,16623,12
335,335,16799,12
336,336,16843,12
337,337,16988,12
338,338,16996,12
340,340,17251,5
342,342,17494,5
343,343,17532,6
344,344,17582,11
345,345,17668,6
346,346,17682,11
347,347,17759,11
348,348,17816,11
354,354,18218,3
355,355,18222,3
356,356,18225,3
357,357,18227,3
358,358,18230,5
359,359,18231,3
360,360,18249,12
362,362,18396,5
363,363,18465,12
364,364,18468,12
365,365,18487,3
367,367,18630,3
369,369,18673,5
370,370,18683,5
371,371,18708,12
372,372,18851,5
374,374,19161,5
375,375,19173,3
376,376,19438,5
377,377,19464,5
379,379,19601,5
380,380,19632,5
381,381,19784,5
382,382,19788,1
385,385,19819,12
386,386,19820,12
390,390,19888,12
393,393,19939,1
400,400,20242,9
403,403,20501,5
414,414,20970,1
415,415,20999,1
420,420,21442,1
421,421,21444,1
422,422,21450,1
423,423,21456,1
425,425,21461,1
426,426,21463,1
427,427,21467,1
429,429,21478,13
433,433,21517,13
434,434,21526,13
435,435,21530,13
436,436,21538,12
437,437,21552,12
438,438,21557,12
439,439,21563,2
440,440,21572,12
441,441,21574,13
442,442,21580,3
444,444,21593,3
447,447,21780,13
449,449,21931,13
450,450,21934,13
452,452,22029,13
454,454,22140,3
456,456,22254,13
458,458,22308,3
459,459,22316,1
460,460,22335,5
461,461,22417,13
462,462,22445,13
463,463,22548,13
464,464,22561,12
466,466,22632,1
468,468,22739,12
469,469,22827,12
470,470,22851,12
472,472,23147,2
473,473,23148,2
475,475,23159,2
476,476,23163,2
478,478,23177,2
479,479,23180,2
480,480,23187,2
481,481,23218,2
482,482,23282,2
483,483,23296,2
484,484,23339,2
485,485,23390,2
486,486,23550,2
487,487,23573,5
488,488,23662,5
489,489,23849,3
490,490,23862,2
492,492,23985,2
493,493,24012,2
494,494,24054,2
496,496,24223,2
499,499,24555,2
500,500,24852,12
501,501,24938,2
502,502,24960,12
503,503,25671,12
504,504,25702,2
508,508,26394,13
510,510,26555,13
511,511,26559,13
512,512,27821,1
513,513,27823,1
514,514,27835,1
515,515,27836,1
516,516,27838,1
517,517,27839,1
521,521,27923,1
526,526,28163,1
527,527,28182,1
528,528,28199,3
532,532,28403,1
534,534,28500,12
535,535,28554,1
536,536,28570,15
537,537,28641,1
538,538,28681,1
539,539,28696,1
540,540,28802,1
542,542,29120,1
543,543,29169,1
545,545,29431,5
546,546,29531,3
547,547,29562,1
548,548,29591,5
549,549,29697,1
551,551,29699,11
552,552,29700,1
553,553,29701,2
554,554,29702,5
555,555,29703,3
556,556,29704,12
557,557,29705,1
560,560,29712,15
562,562,29740,5
566,566,29909,1
568,568,30102,1
569,569,30159,3
570,570,30261,3
571,571,30270,15
572,572,30346,5
573,573,30430,1
574,574,30464,1
576,576,30690,1
578,578,31023,12
579,579,31044,12
580,580,31077,12
581,581,31170,1
582,582,31395,15
584,584,31445,12
585,585,31525,12
587,587,31728,1
588,588,31731,1
589,589,31831,1
591,591,31844,1
592,592,31856,12
593,593,31978,1
598,598,32378,1
600,600,35681,10
601,601,36371,1
603,603,36478,12
604,604,38106,5
605,605,38178,1
606,606,39834,2
607,607,44606,11
608,608,46472,12
611,611,49480,2
612,612,51307,2
613,613,51971,2
